"full_tag","l1","l2","l3","intent","trip_stage","definition","minded_equivalent_tag","easy_tag_category"
"general_information::sales_not_started","general_information","sales_not_started","","Customer contact concerns information that sales for a tour or offer have not yet started.","Pre-booking","Information that sales for a tour or offer have not yet started.","general_information__sales_not_started","general_information__sales_not_started"
"general_information::tour_comparison","general_information","tour_comparison","","Customer contact concerns comparing different tours or experiences to choose the best option.","Pre-booking","Comparing different tours or experiences to choose the best option.","general_information__tour_comparison","general_information__tour_comparison"
"general_information::trust","general_information","trust","","Customer trust issues or concerns about reliability and safety.","Pre-booking","Customer trust issues or concerns about reliability and safety.","general_information__trust","general_information__trust"
"general_information::unsubscribe_delete_account","general_information","unsubscribe_delete_account","","Customer wants to unsubscribe from communications or delete account data.","Any","Requests to unsubscribe from communications or delete account data.","general_information__unsubscribe/delete_account","general_information__unsubscribe_delete_account"
"cancellation_request::customer_related::affected_by_weather_strikes","cancellation_request","customer_related","affected_by_weather_strikes","Customer affected by weather disruptions or strikes.","Pre-trip","Customer affected by weather disruptions or strikes.","","cancellation_request__customer_related__affected_by_weather_strikes"
"cancellation_request::customer_related::booked_twice","cancellation_request","customer_related","booked_twice","Customer booked twice and wants to cancel one reservation.","Pre-trip","Customer booked twice and wants to cancel one reservation.","cancellation_request__customer_related__booked_twice","cancellation_request__customer_related__booked_twice"
"cancellation_request::customer_related::change_of_plans","cancellation_request","customer_related","change_of_plans","Customer wants to cancel due to change in plans.","Pre-trip","Customer wants to cancel due to change in plans.","cancellation_request__customer_related__change_of_plans","cancellation_request__customer_related__change_of_plans"
"cancellation_request::customer_related::didn_t_get_tickets","cancellation_request","customer_related","didn_t_get_tickets","Customer did not receive tickets after booking.","Pre-trip","Customer did not receive tickets after booking.","cancellation_request__customer_related__didn_t_get_tickets","cancellation_request__customer_related__didn_t_get_tickets"
"cancellation_request::customer_related::flight_train_cancellation","cancellation_request","customer_related","flight_train_cancellation","Customer's flight or train was canceled, affecting plans.","Pre-trip","Customer's flight or train was canceled, affecting plans.","cancellation_request__customer_related__flight/train_cancellation","cancellation_request__customer_related__flight_train_cancellation"
"cancellation_request::customer_related::found_cheaper_options","cancellation_request","customer_related","found_cheaper_options","Customer found cheaper options elsewhere and wants to cancel.","Pre-trip","Customer found cheaper options elsewhere and wants to cancel.","cancellation_request__customer_related__found_cheaper_options","cancellation_request__customer_related__found_cheaper_options"
"cancellation_request::customer_related::personal_emergency","cancellation_request","customer_related","personal_emergency","Customer's emergency requires urgent cancellation.","Pre-trip","Customer's emergency requires urgent cancellation.","cancellation_request__customer_related__personal_emergency","cancellation_request__customer_related__personal_emergency"
"cancellation_request::customer_related::wrong_date","cancellation_request","customer_related","wrong_date","Customer selected the wrong date at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong date at booking and wants it corrected - their own mistake.","cancellation_request__customer_related__customer_error","cancellation_request__customer_related__wrong_date"
"cancellation_request::customer_related::wrong_pax","cancellation_request","customer_related","wrong_pax","Customer entered the wrong number of travelers at booking and wants it corrected - their own mistake.","Pre-trip","Customer entered the wrong number of travelers at booking and wants it corrected - their own mistake.","cancellation_request__customer_related__customer_error","cancellation_request__customer_related__wrong_pax"
"cancellation_request::customer_related::wrong_time","cancellation_request","customer_related","wrong_time","Customer selected the wrong time slot at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong time slot at booking and wants it corrected - their own mistake.","cancellation_request__customer_related__customer_error","cancellation_request__customer_related__wrong_time"
"cancellation_request::customer_related::wrong_variant","cancellation_request","customer_related","wrong_variant","Customer selected the wrong experience or ticket variant at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong experience or ticket variant at booking and wants it corrected - their own mistake.","cancellation_request__customer_related__customer_error","cancellation_request__customer_related__wrong_variant"
"cancellation_request::headout_related","cancellation_request","headout_related","","Customer wants to cancel because Headout cannot fulfil or support the booking as purchased.","Pre-trip","Customer wants to cancel because Headout cannot fulfil or support the booking as purchased.","","cancellation_request__headout_related"
"cancellation_request::headout_related::booking_failure","cancellation_request","headout_related","booking_failure","Customer contact concerns booking failed due to system or process errors.","Pre-trip","Booking failed due to system or process errors.","cancellation_request__headout_related__others","cancellation_request__headout_related__booking_failure"
"cancellation_request::headout_related::inventory_issues","cancellation_request","headout_related","inventory_issues","Customer wants to cancel because Headout could not fulfil the booking due to inventory or availability constraints.","Pre-trip","Customer wants to cancel because Headout could not fulfil the booking due to inventory or availability constraints.","cancellation_request__headout_related__inventory_issues","cancellation_request__headout_related__inventory_issues"
"cancellation_request::headout_related::listing_error_catalog","cancellation_request","headout_related","listing_error_catalog","Customer contact concerns error in listing details or catalog information.","Pre-trip","Error in listing details or catalog information.","cancellation_request__headout_related__others","cancellation_request__headout_related__listing_error_catalog"
"cancellation_request::headout_related::wrong_date","cancellation_request","headout_related","wrong_date","Customer contact concerns a glitch on Headout's platform captured the wrong date at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong date at booking - not the customer's error.","cancellation_request__headout_related__wrong_date/time/pax","cancellation_request__headout_related__wrong_date"
"cancellation_request::headout_related::wrong_pax","cancellation_request","headout_related","wrong_pax","Customer contact concerns a glitch on Headout's platform captured the wrong pax count at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong pax count at booking - not the customer's error.","cancellation_request__headout_related__wrong_date/time/pax","cancellation_request__headout_related__wrong_pax"
"cancellation_request::headout_related::wrong_time","cancellation_request","headout_related","wrong_time","Customer contact concerns a glitch on Headout's platform captured the wrong time at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong time at booking - not the customer's error.","cancellation_request__headout_related__wrong_date/time/pax","cancellation_request__headout_related__wrong_time"
"cancellation_request::headout_related::wrong_variant","cancellation_request","headout_related","wrong_variant","Customer contact concerns a glitch on Headout's platform captured the wrong variant at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong variant at booking - not the customer's error.","cancellation_request__headout_related__wrong_date/time/pax","cancellation_request__headout_related__wrong_variant"
"cancellation_request::sp_related::add_invalid_or_wrong_tickets","cancellation_request","sp_related","add_invalid_or_wrong_tickets","Customer reports receiving invalid or incorrect tickets.","Pre-trip","Customer reports receiving invalid or incorrect tickets.","","cancellation_request__sp_related__add_invalid_or_wrong_tickets"
"cancellation_request::sp_related::booking_failure","cancellation_request","sp_related","booking_failure","Customer reports failure during the booking process.","Pre-trip","Customer reports failure during the booking process.","","cancellation_request__sp_related__booking_failure"
"cancellation_request::sp_related::delay_in_receiving_tickets","cancellation_request","sp_related","delay_in_receiving_tickets","Customer reports delay in receiving their tickets.","Pre-trip","Customer reports delay in receiving their tickets.","","cancellation_request__sp_related__delay_in_receiving_tickets"
"cancellation_request::sp_related::delayed_comms_resolution","cancellation_request","sp_related","delayed_comms_resolution","Customer experiences delayed communication or resolution.","Pre-trip","Customer experiences delayed communication or resolution.","","cancellation_request__sp_related__delayed_comms_resolution"
"cancellation_request::sp_related::experience_cancelled","cancellation_request","sp_related","experience_cancelled","Customer reports their experience was canceled.","Pre-trip","Customer reports their experience was canceled.","","cancellation_request__sp_related__experience_cancelled"
"cancellation_request::sp_related::venue_closure_strikes_weather_related","cancellation_request","sp_related","venue_closure_strikes_weather_related","Customer reports venue closure due to strikes or weather affecting their booking.","Pre-trip","Customer reports venue closure due to strikes or weather affecting their booking.","","cancellation_request__sp_related__venue_closure_strikes_weather_related"
"delay_fulfilment::customer_dependency","delay_fulfilment","customer_dependency","","Customer contact concerns ticket fulfilment is delayed because Headout is waiting for information or action from the customer.","Pre-trip","Ticket fulfilment is delayed because Headout is waiting for information or action from the customer.","delay_fulfilment__delay__customer_dependency","delay_fulfilment__customer_dependency"
"delay_fulfilment::customer_dependency::need_more_info","delay_fulfilment","customer_dependency","need_more_info","Customer needs more information to proceed with their request.","Pre-trip","Customer needs more information to proceed with their request.","","delay_fulfilment__customer_dependency__need_more_info"
"delay_fulfilment::customer_dependency::sent_alts","delay_fulfilment","customer_dependency","sent_alts","Customer received alternative options due to dependency delays in fulfillment.","Pre-trip","Customer received alternative options due to dependency delays in fulfillment.","","delay_fulfilment__customer_dependency__sent_alts"
"delay_fulfilment::future_booking","delay_fulfilment","future_booking","","Customer contact concerns fulfillment delayed due to future booking issues.","Pre-trip","Fulfillment delayed due to future booking issues.","delay_fulfilment__delay__future_booking","delay_fulfilment__future_booking"
"delay_fulfilment::headout_related","delay_fulfilment","headout_related","","Customer contact concerns ticket fulfilment is delayed because of an internal Headout operational or technical issue.","Pre-trip","Ticket fulfilment is delayed because of an internal Headout operational or technical issue.","delay_fulfilment__delay__headout_related","delay_fulfilment__headout_related"
"delay_fulfilment::headout_related::inventory_issue","delay_fulfilment","headout_related","inventory_issue","Customer needs help with unavailable or incorrect inventory for a booking.","Pre-trip","Issue related to unavailable or incorrect inventory for a booking.","","delay_fulfilment__headout_related__inventory_issue"
"delay_fulfilment::headout_related::promise_breach","delay_fulfilment","headout_related","promise_breach","Customer reports a breach of promise related to fulfillment timing.","Pre-trip","Customer reports a breach of promise related to fulfillment timing.","","delay_fulfilment__headout_related__promise_breach"
"delay_fulfilment::resend_tickets","delay_fulfilment","resend_tickets","","Customer wants already issued tickets to be resent or reshared.","Pre-trip","Customer wants already issued tickets to be resent or reshared.","delay_fulfilment__resend_tickets","delay_fulfilment__resend_tickets"
"delay_fulfilment::resend_tickets::do_not_want_to_download_app","delay_fulfilment","resend_tickets","do_not_want_to_download_app","Customer does not want to download the app to resend tickets.","Pre-trip","Customer does not want to download the app to resend tickets.","","delay_fulfilment__resend_tickets__do_not_want_to_download_app"
"delay_fulfilment::resend_tickets::send_tickets","delay_fulfilment","resend_tickets","send_tickets","Customer requests to resend their tickets.","Pre-trip","Customer requests to resend their tickets.","","delay_fulfilment__resend_tickets__send_tickets"
"delay_fulfilment::sp_dependency","delay_fulfilment","sp_dependency","","Customer contact concerns ticket fulfilment is delayed while Headout waits for the supplier or operator.","Pre-trip","Ticket fulfilment is delayed while Headout waits for the supplier or operator.","delay_fulfilment__delay__sp_dependency","delay_fulfilment__sp_dependency"
"delay_fulfilment::ticket_related_issues::booked_with_wrong_email","delay_fulfilment","ticket_related_issues","booked_with_wrong_email","Customer booked with an incorrect email address.","Pre-trip","Customer booked with an incorrect email address.","delay_fulfilment__ticket_related_issues__booked_with_wrong_email","delay_fulfilment__ticket_related_issues__booked_with_wrong_email"
"delay_fulfilment::ticket_related_issues::do_not_want_to_download_app","delay_fulfilment","ticket_related_issues","do_not_want_to_download_app","Customer does not want to download the app to access tickets.","Pre-trip","Customer does not want to download the app to access tickets.","","delay_fulfilment__ticket_related_issues__do_not_want_to_download_app"
"delay_fulfilment::ticket_related_issues::guest_names_are_missing","delay_fulfilment","ticket_related_issues","guest_names_are_missing","Guest names are missing from the booking.","Pre-trip","Guest names are missing from the booking.","delay_fulfilment__ticket_related_issues__guest_names_are_missing","delay_fulfilment__ticket_related_issues__guest_names_are_missing"
"delay_fulfilment::ticket_related_issues::inventory_issue","delay_fulfilment","ticket_related_issues","inventory_issue","Customer needs help with ticket inventory or availability.","Pre-trip","Issues with ticket inventory or availability.","","delay_fulfilment__ticket_related_issues__inventory_issue"
"delay_fulfilment::ticket_related_issues::issue_with_access_to_tickets","delay_fulfilment","ticket_related_issues","issue_with_access_to_tickets","Customer has issues accessing their tickets.","Pre-trip","Customer has issues accessing their tickets.","","delay_fulfilment__ticket_related_issues__issue_with_access_to_tickets"
"modification_request::customer_related::change_of_plans","modification_request","customer_related","change_of_plans","Customer wants to change an existing booking because their plans changed.","Pre-trip","Customer wants to change an existing booking because their plans changed.","modification_request__customer_related__change_of_plans","modification_request__customer_related__change_of_plans"
"modification_request::customer_related::didn_t_get_tickets","modification_request","customer_related","didn_t_get_tickets","Customer did not receive their tickets.","Pre-trip","Customer did not receive their tickets.","modification_request__customer_related__didn_t_get_tickets","modification_request__customer_related__didn_t_get_tickets"
"modification_request::customer_related::flight_train_cancellation","modification_request","customer_related","flight_train_cancellation","Customer reports cancellation of flight or train affecting plans.","Pre-trip","Customer reports cancellation of flight or train affecting plans.","modification_request__customer_related__flight/train_cancellation","modification_request__customer_related__flight_train_cancellation"
"modification_request::customer_related::name_change_request","modification_request","customer_related","name_change_request","Customer requests to update the name on their booking.","Pre-trip","Customer requests to update the name on their booking.","modification_request__customer_related__name_change_request","modification_request__customer_related__name_change_request"
"modification_request::customer_related::personal_emergency","modification_request","customer_related","personal_emergency","Customer reports a personal emergency affecting their booking.","Pre-trip","Customer reports a personal emergency affecting their booking.","modification_request__customer_related__personal_emergency","modification_request__customer_related__personal_emergency"
"modification_request::customer_related::wrong_date","modification_request","customer_related","wrong_date","Customer selected the wrong date at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong date at booking and wants it corrected - their own mistake.","modification_request__customer_related__wrong_date/time","modification_request__customer_related__wrong_date"
"modification_request::customer_related::wrong_pax","modification_request","customer_related","wrong_pax","Customer entered the wrong number of travelers at booking and wants it corrected - their own mistake.","Pre-trip","Customer entered the wrong number of travelers at booking and wants it corrected - their own mistake.","modification_request__customer_related__wrong_pax","modification_request__customer_related__wrong_pax"
"modification_request::customer_related::wrong_time","modification_request","customer_related","wrong_time","Customer selected the wrong time slot at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong time slot at booking and wants it corrected - their own mistake.","modification_request__customer_related__wrong_date/time","modification_request__customer_related__wrong_time"
"modification_request::customer_related::wrong_variant","modification_request","customer_related","wrong_variant","Customer selected the wrong experience or ticket variant at booking and wants it corrected - their own mistake.","Pre-trip","Customer selected the wrong experience or ticket variant at booking and wants it corrected - their own mistake.","","modification_request__customer_related__wrong_variant"
"modification_request::headout_related::inventory_issues","modification_request","headout_related","inventory_issues","Customer wants to modify a booking because Headout could not fulfil the original inventory or slot.","Pre-trip","Customer wants to modify a booking because Headout could not fulfil the original inventory or slot.","modification_request__headout_related__inventory_issues","modification_request__headout_related__inventory_issues"
"modification_request::headout_related::tickets_issued_wrong_date","modification_request","headout_related","tickets_issued_wrong_date","Customer contact concerns booking itself was correct, but Headout issued/sent tickets for the wrong date.","Pre-trip","Booking itself was correct, but Headout issued/sent tickets for the wrong date.","","modification_request__headout_related__tickets_issued_wrong_date"
"modification_request::headout_related::tickets_issued_wrong_pax","modification_request","headout_related","tickets_issued_wrong_pax","Customer contact concerns booking itself was correct, but Headout issued/sent tickets for the wrong number of travelers.","Pre-trip","Booking itself was correct, but Headout issued/sent tickets for the wrong number of travelers.","","modification_request__headout_related__tickets_issued_wrong_pax"
"modification_request::headout_related::tickets_issued_wrong_time","modification_request","headout_related","tickets_issued_wrong_time","Customer contact concerns booking itself was correct, but Headout issued/sent tickets for the wrong time.","Pre-trip","Booking itself was correct, but Headout issued/sent tickets for the wrong time.","","modification_request__headout_related__tickets_issued_wrong_time"
"modification_request::headout_related::tickets_issued_wrong_variant","modification_request","headout_related","tickets_issued_wrong_variant","Customer contact concerns booking itself was correct, but Headout issued/sent tickets for the wrong experience/variant.","Pre-trip","Booking itself was correct, but Headout issued/sent tickets for the wrong experience/variant.","","modification_request__headout_related__tickets_issued_wrong_variant"
"modification_request::headout_related::weather_related","modification_request","headout_related","weather_related","Customer issue caused by weather conditions affecting the experience.","Pre-trip","Customer issue caused by weather conditions affecting the experience.","modification_request__headout_related__weather_related","modification_request__headout_related__weather_related"
"modification_request::headout_related::wrong_date","modification_request","headout_related","wrong_date","Customer contact concerns a glitch on Headout's platform captured the wrong date at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong date at booking - not the customer's error.","","modification_request__headout_related__wrong_date"
"modification_request::headout_related::wrong_pax","modification_request","headout_related","wrong_pax","Customer contact concerns a glitch on Headout's platform captured the wrong pax count at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong pax count at booking - not the customer's error.","","modification_request__headout_related__wrong_pax"
"modification_request::headout_related::wrong_time","modification_request","headout_related","wrong_time","Customer contact concerns a glitch on Headout's platform captured the wrong time at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong time at booking - not the customer's error.","","modification_request__headout_related__wrong_time"
"modification_request::headout_related::wrong_variant","modification_request","headout_related","wrong_variant","Customer contact concerns a glitch on Headout's platform captured the wrong variant at booking - not the customer's error.","Pre-trip","A glitch on Headout's platform captured the wrong variant at booking - not the customer's error.","","modification_request__headout_related__wrong_variant"
"modification_request::sp_related::offered_a_different_time","modification_request","sp_related","offered_a_different_time","Customer was offered a different time for their booking or experience.","Pre-trip","Customer was offered a different time for their booking or experience.","modification_request__sp_related__offered_a_different_time","modification_request__sp_related__offered_a_different_time"
"modification_request::sp_related::venue_closure_strikes","modification_request","sp_related","venue_closure_strikes","Customer contact concerns experience affected by venue closures or strikes impacting availability.","Pre-trip","Experience affected by venue closures or strikes impacting availability.","","modification_request__sp_related__venue_closure_strikes"
"amended_booking_response::alternatives_selected","amended_booking_response","alternatives_selected","","Customer selected alternative options after a booking change.","Pre-trip","Customer selected alternative options after a booking change.","amended_booking_response__tickets_yet_to_recieve_-_alts_selected","amended_booking_response__alternatives_selected"
"amended_booking_response::refund_request","amended_booking_response","refund_request","","Customer contact concerns response to a refund request after booking modification.","Pre-trip","Response to a refund request after booking modification.","amended_booking_response__request_for_refund","amended_booking_response__refund_request"
"ticket_redemption_details::app_issue","ticket_redemption_details","app_issue","","Customer cannot access or redeem their booking through the Headout app.","Pre/In-trip","Customer cannot access or redeem their booking through the Headout app.","","ticket_redemption_details__app_issue"
"ticket_redemption_details::audio_guide_related::redemption_information_issues","ticket_redemption_details","audio_guide_related","redemption_information_issues","Customer needs help with redeeming or using the audio guide feature.","Pre/In-trip","Issues related to redeeming or using the audio guide feature.","ticket_redemption_details__audio_guide_related__redemption_information/issues","ticket_redemption_details__audio_guide_related__redemption_information_issues"
"ticket_redemption_details::audio_guide_related::tech_issues","ticket_redemption_details","audio_guide_related","tech_issues","Customer contact concerns technical problems encountered while accessing or using the audio guide.","Pre/In-trip","Technical problems encountered while accessing or using the audio guide.","ticket_redemption_details__audio_guide_related__tech_issues","ticket_redemption_details__audio_guide_related__tech_issues"
"ticket_redemption_details::booking_not_found","ticket_redemption_details","booking_not_found","","Customer cannot locate an existing booking or make it appear in the app or account.","Pre/In-trip","Customer cannot locate an existing booking or make it appear in the app or account.","","ticket_redemption_details__booking_not_found"
"ticket_redemption_details::denied_entry_invalid_ticket","ticket_redemption_details","denied_entry_invalid_ticket","","Customer's entry was denied or ticket was invalid.","Pre/In-trip","Customer's entry was denied or ticket was invalid.","","ticket_redemption_details__denied_entry_invalid_ticket"
"ticket_redemption_details::dex_query","ticket_redemption_details","dex_query","","Customer has a query related to DEX during ticket redemption.","Pre/In-trip","Customer has a query related to DEX during ticket redemption.","","ticket_redemption_details__dex_query"
"ticket_redemption_details::extended_validity","ticket_redemption_details","extended_validity","","Customer needs to extend ticket validity beyond the original period.","Pre/In-trip","Customer needs to extend ticket validity beyond the original period.","ticket_redemption_details__extended_validity","ticket_redemption_details__extended_validity"
"ticket_redemption_details::inclusions_exclusions_related","ticket_redemption_details","inclusions_exclusions_related","","Customer is asking about what is included or excluded in a tour or ticket.","Pre/In-trip","Questions about what is included or excluded in a tour or ticket.","ticket_redemption_details__inclusions/exclusions_related","ticket_redemption_details__inclusions_exclusions_related"
"ticket_redemption_details::meeting_point_related::meeting_point_details_requested","ticket_redemption_details","meeting_point_related","meeting_point_details_requested","Customer requested details about the meeting point location.","Pre/In-trip","Customer requested details about the meeting point location.","ticket_redemption_details__meeting_point_related__meeting_point_details_requested","ticket_redemption_details__meeting_point_related__meeting_point_details_requested"
"ticket_redemption_details::meeting_point_related::meeting_point_is_incorrect_missing","ticket_redemption_details","meeting_point_related","meeting_point_is_incorrect_missing","Customer contact concerns meeting point details are incorrect or missing from instructions.","Pre/In-trip","Meeting point details are incorrect or missing from instructions.","ticket_redemption_details__meeting_point_related__meeting_point_is_incorrect/missing","ticket_redemption_details__meeting_point_related__meeting_point_is_incorrect_missing"
"ticket_redemption_details::pax_related","ticket_redemption_details","pax_related","","Customer inquiries or problems related to the number of travelers.","Pre/In-trip","Customer inquiries or problems related to the number of travelers.","ticket_redemption_details__pax_related","ticket_redemption_details__pax_related"
"ticket_redemption_details::sp_information","ticket_redemption_details","sp_information","","Customer is asking about or needs help with special passes or offers.","Pre/In-trip","Questions or issues related to special passes or offers.","ticket_redemption_details__sp_information","ticket_redemption_details__sp_information"
